"","ERR1072629","ERR1072937","ERR1073023","ERR1073394","ERR1073395","ERR1073490","ERR1073491","ERR1073812","ERR1074062","ERR1074157","ERR1074475","ERR1074512","ERR1074615","ERR1074802","ERR1075093","ERR1075141","ERR1075184","ERR1075317","ERR1075554","ERR1075631","ERR1075686","ERR1075741","ERR1075850","ERR1075876","ERR1075892","ERR1076013","ERR1076843","ERR1076847","ERR1076868","ERR1076869","ERR1077263","ERR1089672","ERR1089686","ERR1089704","ERR1089705","ERR1089710","ERR1089717","ERR1089719","ERR1089726","ERR1089729","ERR1089730","ERR1089748","ERR1089785","ERR1089804","ERR1089813","ERR1089833","ERR1089834","ERR1089835","ERR1089866","ERR1089891","ERR1089900","ERR1089903","ERR1089906","ERR1089914","ERR1089915","ERR1089940","ERR1089941","ERR1089942","ERR1089946","ERR1089980","ERR1089993","ERR1089997","ERR1090006","ERR1090008","ERR1090009","ERR1090040","ERR1090047","ERR1090065","ERR1090082","ERR1090099","ERR1090112","ERR1090126","ERR1090137","ERR1090139","ERR1090140","ERR1090242","ERR1090246","ERR1090339","ERR1090367","ERR1090409","ERR1090412","ERR1090417","ERR1090429","ERR1090439","ERR1090446","ERR1090448","ERR1090452","ERR1090454","ERR1090457","ERR1090465","ERR1090466","ERR1090471","ERR1090487","ERR1090508","ERR1090511","ERR1090512","ERR1090527","ERR1090528","ERR1090529","ERR1090536","ERR1090539","ERR1090544","ERR1090563","ERR1090571","ERR1090580","ERR1090650","ERR1090654","ERR1090655","ERR1090677","ERR1090682","ERR1090703","ERR1090785","ERR1090796","ERR1090799","ERR1090804","ERR1090819","ERR1090820","ERR1090847","ERR1090864","ERR1090884","ERR1090885","ERR1090888","ERR1090889","ERR1090895","ERR1090906","ERR1090911","ERR1090913","ERR1090914","ERR1090916","ERR1090926","ERR1090933","ERR1090937","ERR1090943","ERR1090948","ERR1090951","ERR1090952","ERR1090969","ERR1090970","ERR1090984","ERR1091000","ERR1091021","ERR1091031","ERR1091033","ERR1091034","ERR1091059","ERR1091060","ERR1091067","ERR1091068","ERR1091076","ERR1091105","ERR1091106","ERR1091108","ERR1091119","ERR1091121","ERR1091124","ERR1091130","ERR1091146","ERR1091157","ERR1091175","ERR1091177","ERR1091186","ERR1091189","ERR1091268","ERR1091269","ERR1091270","ERR1091298","ERR1091299","ERR1091329","ERR1091338","ERR1091340","ERR1091365","ERR1091366","ERR1091377","ERR1091379","ERR1091380","ERR1091387","ERR1091388","ERR1091395","ERR1091396","ERR1091410","ERR1091417","ERR1091422","ERR1091432","ERR1091434","ERR1091443","ERR1091454","ERR1091460","ERR1091466","ERR1091471","ERR1091476","ERR1091483","ERR1091484","ERR1091486","ERR1091487","ERR1091493","ERR1091505","ERR1091516","ERR1091517","ERR1091519","ERR1091523","ERR1091524","ERR1091526","ERR1091530","ERR1091533","ERR1091542","ERR1091545","ERR1091561","ERR1091569","ERR1091579","ERR1091594","ERR1091595","ERR1091611","ERR1091620","ERR1091643","ERR1091652","ERR1091653","ERR1091669","ERR1091671","ERR1091675","ERR1091708","ERR1091717","ERR1091726","ERR1091727","ERR1091734","ERR1091750","ERR1091752","ERR1091754","ERR1091756","ERR1091757","ERR1091758","ERR1091759","ERR1091764","ERR1091774","ERR1091795","ERR1091798","ERR1091802","ERR1091809","ERR1091810","ERR1091817","ERR1091821","ERR1091838","ERR1160352","ERR1160392","ERR1160435","ERR1160458","ERR1160463","ERR1160484","ERR1160486","ERR1160490","ERR1160499","ERR1160503","ERR1160544","ERR1160548","ERR1160555","ERR1160557","ERR1160566","ERR1160575","ERR1160580","ERR1160583","ERR1160586","ERR1160587","ERR1160596","ERR1160601","ERR1160619","ERR1160639","ERR1160648","ERR1160661","ERR1160669","ERR1160675","ERR1160679","ERR1160683","ERR1160685","ERR1160693","ERR1160706","ERR1160717","ERR1160791","ERR1160798","ERR1160801","ERR1160802","ERR1160807","ERR1249647","ERR1249655","ERR1249665","ERR1249668","ERR1249679","ERR1249688","ERR1249694","ERR1249740","ERR1249760","ERR1249790","ERR1249793","ERR1249804","ERR1249806","ERR1249818","ERR1249834","ERR1249835","ERR1249837","ERR1249865","ERR1249884","ERR1249895","ERR1249934","ERR1249944","ERR1249963","ERR1249967","ERR1249968","ERR1249977","ERR1249992","ERR1250017","ERR1250043","ERR1250073","ERR1250085","ERR1250120","ERR1250123","ERR1250134","ERR1250396","ERR1250427","ERR1250447","ERR1250449","ERR1250474","ERR1250493","ERR1250506","ERR1250508","ERR1250515","ERR1250523","ERR1250540","ERR1250550","ERR1250556","ERR1250559","ERR1250566","ERR1250590","ERR1250609","ERR1250614","ERR1250616","ERR1250620","ERR1250634","ERR1250635","ERR1250639","ERR1250646","ERR1250647","ERR1458723","ERR1545728","ERR1545993","ERR1843471","ERR1843546","ERR1843547","ERR1843550","ERR1844562","ERR1845171","ERR1845903","ERR2032711","ERR2056786","ERR2092550","ERR2313943","ERR2313949"
"Barnesiella",0.00483957,0,0.642028,0,0.00247048,1.05881,2.66098,0,0.15625,0.0129475,15.7719,0,0.410333,2.34823,1.26085,0.00842993,2.06219,7.98757,16.5679,0.0239406,0.180494,0.55835,2.68134,0.00329685,0,12.8582,0.00202114,0.00379896,0.0087604,0.00545286,1.4929,0.0166452,0.00312071,0,1.08065,0.00342513,0,0.00501907,0.138604,0.00426712,17.1636,0,0.223152,0.0299568,0.80653,0,0.0950156,0.113918,0.0198373,0.00257506,0.00413462,1.49431,0,0,0.209722,0.00835806,0,0.0220313,0.557866,0.258698,1.09973,0.498163,0.00331367,0,1.10654,0.0626566,0.200997,0.0171866,0.00277369,0.453819,1.63294,0,0.109425,0,0.0035868,0.36095,0.0204761,1.45484,0.0279799,0.769091,0,1.28665,0.00891822,0.00704349,0.0306408,0,0.70626,0.0591816,0.0041651,0,0.0326904,0,2.07476,5.14724,0.0262241,0.00433463,0.014339,0.595123,0.0944919,0,2.32802,0.00787929,0.613902,0.0637474,0,0.494366,0.380762,2.41297,0.260163,1.00622,0.0282374,0.427056,0.00639069,2.56745,1.06232,0.392889,0.20104,0,0.127125,0.0024475,0.104795,10.9495,0.286852,0.0093188,0.0394361,1.15315,0.0195427,0.012287,0.828375,0.0225424,0,0.00622303,0.116103,0.00533286,0,0.0162514,0,0.825644,0.105221,0.0278964,1.93784,0,0,0.287676,0.162641,1.16608,0.00219241,0.0252196,0.0821062,1.61641,0.00573756,1.86556,0.113995,0.6992,0.064829,0.161008,0.206485,0.0254755,0.00478572,0.0129472,0.54037,2.22537,0,0.00328915,0.0102801,2.60847,0.00269622,0.0030626,0.210213,0,0.0328299,0.00206118,0.174644,0.220216,1.47984,0.405529,0.00483547,0.16679,0.0686357,0.174984,0.342946,0,0.00376832,0,1.11799,0.881942,0.0143519,0.477665,0.198311,0.150289,0.0233849,0.0208019,0.139367,0.0244611,8.74604,0.0192521,0.0331255,0.137091,1.10624,0.29796,0.734934,0.468157,0.011572,0.112083,0.635076,0.683951,0.0430536,0.0268216,0.0651572,0.00673915,0.635093,0.00928247,0.106879,1.58573,0.00687837,0.00560334,0.00355006,0.00188147,0.104434,0,0.00318248,0.106344,0.0279349,0.0122254,0.0126418,0,0.101209,0,0,0,0.00157629,0.00397931,0.1434,1.11845,0.00495761,0.0164258,0.00894454,0.0188032,0.0267139,1.36706,0.502621,1.82761,0.00510067,0.00701152,1.83197,0.524695,0.674847,0.000916447,0.697525,0,0.682358,8.92658,0.854253,0.00253115,0.00514465,0.0856201,0.039673,0.274845,1.89692,0.832349,0.00189595,0.231025,0.00196591,0,0.0847692,0.225893,2.05991,0.698273,3.35966,0.0374637,2.15794,0.233031,0.00707597,0.00657573,0.0247671,1.5262,0.00476951,0.0209884,1.73707,0.0649673,1.34706,2.03975,0.390375,0,2.13456,0.34139,0,0.422289,0.0761667,0.227233,0.00358822,0.836782,3.82439,1.50615,0.0324086,0.617711,0.0233667,0.341486,0.299753,0.509057,1.77694,0.840089,3.14843,6.97368,0.00507769,11.6573,0,1.38094,0.474061,0.307204,0.0222618,0.342243,1.64477,0,0.26086,0.20203,0.495241,0.900841,0.235144,0,0.120263,0.241843,12.4776,1.33941,0.168696,0.70878,0,1.06922,0.983559,0.0432318,0,0.606198,0.00438366,3.48605,0.865541,0.00541477,0.184882,0.00969979,0.0610472,0.536383,0,0,0.0714833,0,0.00463392,0.00648508,0,2.39599,0,0.0273284,0.00425604,0.633464,4.72134,0.00374448
"Bartonella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00193353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bdellovibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000363702,0,0,0,0.00101292,0,0,0,0,0,0,0,0,0,0,0.00120221,0,0,0.00196773,0,0,0,0,0,0,0.00176513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium",0.0483957,0.0105971,0.0781599,0.375134,0.385395,0.0159459,0.157828,0.0791933,0.817708,0,0.0172622,0,0.0288967,0,0.00516742,0.00632244,0.597793,0.730381,0.0073635,0.00598516,0,0,0.0375748,0.108796,0.302626,0.00775524,0.474968,0.00759792,3.81516,3.60707,0.0944873,0.029129,0.137311,0.682216,0.00935629,0.253459,0.0171821,0.0401526,0.0331445,0.00426712,0.038622,1.36237,0.111576,0.0941499,0.00485861,0.0246498,0.011877,0.0268043,0.302519,0.00772519,0.22327,0.148441,0.391251,0.0631363,0.0326234,0.12955,0.297824,3.36344,0.0244678,0.312221,0.122717,0.0654154,0.112665,0.065433,7.41567,0.0298365,0.0884387,0.0429664,0.0499265,0.0691533,0.0177494,0.349848,3.71569,4.73153,0.107604,0.193066,0,0.00899901,0.520425,0.036335,12.2078,0.051261,0.142692,0.0352175,0.0268107,0.0183767,0.0642055,5.61802,1.09126,0.00964413,0.0108968,0,1.6878,0.195341,0.0974038,1.21803,0,0.0129374,2.47254,0.0177384,2.26167,0.338809,0.553019,0.465846,3.13758,0.0133612,0.0362631,0.843368,0.0455285,4.04372,0.694641,0.00328504,0.0543209,0.109698,0.717391,0.505763,0.294204,0.274428,6.49037,0.882324,0.229416,0.325542,0.0117082,0.0139782,1.05886,0.00993024,11.4129,0.888761,0.0116672,1.21421,0,0.00414869,0.174154,1.37054,0.37356,1.11885,0.66478,0.00560392,0.0046765,0.0579387,0.0850384,2.15473,0.0728124,0.189604,0.055832,0.256397,0.16443,0.483622,0.00713967,0.0452386,4.39211,0.010557,0.124518,0.200066,0.308586,0.478425,0.340318,0.00283062,0.141179,2.01545,0.0408527,0.019364,0.00173741,0.277933,0.0154202,0.25383,1.46405,0.0183756,0.181159,0.0261808,0.0865517,0.100998,0.167563,0.0380621,1.11795,0.0503212,2.31377,2.91688,1.28415,0.0658762,0.0124708,0.00295081,3.9379,0.0188647,0.206398,1.75515,0.0471563,0.283061,0.202076,0.0479647,1.66032,0.296427,0.0122971,2.56536,0.287484,0.500553,0.00301141,0.00761615,1.41071,1.05432,0.0149117,0.505689,0.0743912,0.0740548,0.0157024,0.100737,0.0453196,0.943228,5.3076,0.18645,0.0151729,0.702373,0.489701,0.0548986,0.00458558,0,0.00177503,0.203198,0.0065271,0.25511,0.0763796,0.57039,0.387597,4.59676,0.679498,0,0.108189,1.35585,0,0.00926977,0.425599,0.0676482,0,0.408435,0.133856,1.40851,0.0670841,0,0.689705,0.00619982,0.0176703,0.312784,0.0357047,3.7313,0.0696666,0.31502,0.0204499,1.95112,13.4463,0.0124649,0.0583328,0.888749,1.03034,3.7672,0.253803,0.627167,0.18995,0.0135726,0.0638615,1.61157,0.296716,6.4327,0.110091,0.190289,0.968475,0.844275,3.86917,0.0618967,0.0702717,0.0655615,0.0561719,0.0678225,0.141519,2.3109,17.2589,11.7611,2.27565,0.656291,0.284558,0,0.0259051,0.00653766,0.0141955,1.73449,0.567969,0.0155177,0.252985,0.121347,0.0138485,0.319,4.74003,7.12165,0.0743154,1.06557,20.1711,0.207679,9.59903,0.0507614,2.41566,0.292708,1.63729,0.326498,0.023988,0.598086,1.23388,0.225878,4.69591,0.267479,0.145451,0.0563207,1.17431,0.628168,0.0785899,5.44563,0,5.3134,1.54361,0.0700654,8.37751,0.00464468,0.552558,0.615215,0.198356,0.6241,0.848753,0,0.141837,1.70265,1.51873,0.187338,1.36436,0,0.149044,0.178214,0.060107,0,0,7.1924,3.96337,0.004158,0,0.00335537,0.638244,0.604276,2.35403,13.4565,15.1041,1.37825,0.0162452,6.82663,0.0127681,4.40367,2.29035,0.0337003
"Bilophila",0,0,0.200983,0.234778,0.172933,0.0223243,0.255682,0.248139,0.0677083,0,0.115081,0.0432283,0.306305,0.0231842,0.268706,0.113804,0.152457,0.30044,0,0.161599,0,0.116093,0.0195389,0.154952,0.215429,0.0581643,0.440609,0.80158,0.21025,0.602541,0.140381,0.00416129,0.00312071,0,0.154379,0.00342513,0,0.00501907,0.00301314,0.00426712,0.239456,0,0.04649,0.00427954,0.0194345,0,0.0514668,0.335053,0,0.00257506,0,0.425532,0.0037262,0,0,0,0,0.455313,0.181062,0,0.0566385,0,0.672675,0,0.314357,0.00298365,0.00803988,0,0,0.146951,0.00887469,0,0.023788,0.00502285,0,0.104927,0,0.00599934,0.00559597,0.0908375,0.0432048,0.194792,0.00445911,0.609262,0.149374,0.0306279,0.144462,0.185999,0,0.3279,0.201591,0.0122075,0.535156,0.385799,0.0449556,0.108366,0.00716949,0.1035,1.31108,0.314856,0.176952,0.00393964,0.603754,0.0196146,0,0.017815,0,0.1921,0.123577,0.0979838,0.0451799,0.00657009,0.00159767,0,0.0217391,0.00434131,0.21575,0,0.00279396,0,0.0084969,0.259264,0.00585412,0,0.00394361,0,0.00488568,0.0245741,0,0.0553313,0,0,0,0,0.00326254,0,0,0,0.0116913,0.00214588,0.316961,0.00813107,0.00780133,0,0.00728244,0,0,0,0.107095,0.0469786,0.00286878,0.00904882,0,0,0,0,0,0.0113225,0.00478572,0.0129472,0.00742777,0.061071,0,0,0,0.064204,0.0134811,0.0520642,0,0,0,0,0.101482,0,0.00691515,0,0.00241774,0.00387883,0.00221405,0.0905797,0.00311769,0,0,0,0.00343997,0,0.00205027,0,0.0163167,0.0287788,0,0,0.00409903,0.0703256,0.0266738,0,0,0.0304646,0.0730727,0.00764,0.0745585,0.00197535,0.00165314,0,0.00697885,0,0.00226598,0,0.0217191,0.00224638,0,0,0.00582977,0.00844595,0.00458558,0.00280167,0,0,0,0,0,0.0251358,0,0,0.00316046,0.00274273,0.00697995,0,0.00223489,0,0,0.00596896,0,0,0,0.0164258,0.838551,0,0.0242854,0.154996,0,0.286961,0.0918121,0.0759581,0.406389,0.244115,1.58998,0.000916447,0.0265363,0,0.244184,0.273692,0,0,1.03579,0.736333,0,0.000678629,0.146645,0.0354191,0.101433,0.159047,0.000982956,0.00074623,0.0504183,0.0197656,0.351261,0.357841,0.0184045,0.0749274,0.313626,0.0104342,0.26417,0,0.00190516,0,0,0.0863753,0.399593,0,0.576388,0,0,0.735474,0.205967,0.0310354,0.237806,0.184448,0.0207727,0.100507,0,0.256433,0.120048,0.355191,0.0129634,0.266255,0,0.323027,0.958035,0.0678743,0.0481556,0.168752,0,0.0837321,0.111709,0.240609,0.644955,0.348345,0.867317,0.322564,0.217053,0.0606507,0.117885,0.180937,0,0.101015,0.225109,0.156813,0.259057,0,0.100761,0.352158,0.226693,0.576092,0.173968,0.07243,0.0157596,0.182426,0.954631,0.139303,0,1.01977,0.0789058,0,0,0.438596,0.348432,0,0.713783,0.004158,0,0,0.0255297,0,0,0,0,0.0414752,0.211188,0.180367,0,0,0.00401816,0
"Blastococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00605583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blautia",0.106471,1.55248,3.26038,0.349615,0.286575,0.532593,0.476641,0.570192,0.817708,1.02285,0.811324,0.670038,1.47373,1.38111,0.52191,0.126449,2.43932,0.849521,1.97342,14.107,0.622394,0.724197,0.823639,1.26929,0.153878,2.2529,5.07913,2.14261,2.09374,1.16964,0.737001,2.42187,1.18899,0.737531,0.944985,0.205508,1.74112,0.351335,0.108473,0.230425,1.3788,0.020642,0.074384,0.28245,0.835682,0.0575161,2.8188,1.47758,1.24975,0.708142,1.23212,1.51905,0.376346,0.93126,2.23237,4.34619,0.0549828,1.62297,1.1402,0.517395,1.37348,0.296885,2.21022,0.871568,1.35173,5.25122,2.3396,0.210535,0.0221896,1.82824,0.328364,1.45582,0.490033,3.81235,0.53802,2.35877,0.0153571,2.60371,0.100727,1.78042,0.326437,3.29096,0.222955,0.72548,4.56165,10.2481,1.20385,2.19395,2.36578,8.94011,7.53514,1.51373,0.66277,3.07662,1.39737,22.7612,0.860338,0.802122,1.5473,0.59867,2.94736,0.0354568,1.55251,0.95621,12.7908,0.267225,1.52305,1.86947,0.62439,6.1579,1.28198,0.0689859,0.249237,0.0626845,1.45652,0.649026,0.269687,0.0780483,0.955534,0.872534,0.169938,0.615996,0.143426,0.563787,0.455487,1.19163,0.293141,0.364515,0.0991716,0.193659,0.253988,0.41072,0.723408,0.490623,0.233271,0.960084,0.65381,0.209213,0.577548,0.148065,0.726692,0.0447209,0.109219,0.379209,0.0194198,0.324886,0.732263,0.600819,0.0785364,0.140936,0.668426,0.247334,0.447212,0.307318,0.324145,0.253013,0.292521,0.0509511,0.25125,0.664624,0.319394,0.869889,0.0590719,0.131566,1.03829,0.174695,1.58268,0.52983,0.160651,0.345586,0.692413,1.85918,5.69716,0.948834,1.26547,0.0947222,0.976766,0.23273,0.243546,0.102931,0.168355,0.0206557,1.3924,0.0169782,0.251118,0.899406,0.0799606,0.194604,0.294956,0.703482,0.257233,0.509647,0.528775,0.198746,1.26256,0.0625692,0.481826,0.102818,0.133967,1.97494,1.42513,0.438527,0.112413,0.0920681,0.0558308,1.12666,0.321769,1.06392,0.428952,0.779495,0.997074,1.94004,0.0544112,1.04941,0.440216,0.0308184,0.221879,0.812794,0.102802,0.121333,5.20973,0.643864,0.764718,0.660174,0.685819,0.208448,0.0593296,0.338063,0.715164,0.0370791,0.173392,0.0994827,0.117328,0.106858,0.252838,1.37976,0.185599,0.644009,0.186998,1.36396,0.202226,1.38316,1.64242,1.46891,1.75199,2.20919,0.710634,2.95646,1.66041,0.386413,0.747473,2.0572,1.13266,1.79796,0.406427,2.34813,3.18466,1.7244,0.307481,0.338449,3.63643,1.19692,11.7109,0.657428,0.142944,0.417902,0.831377,0.555136,2.21021,0.664981,1.94261,0.751265,1.73125,8.11633,4.97819,1.66928,5.37286,1.04861,0.665988,0.531203,2.24726,3.58264,1.17822,0.717088,1.28573,2.33929,0.17203,2.98029,1.28791,3.74497,1.79052,2.61382,0.440176,1.66667,5.28908,2.41759,10.3327,2.36271,2.02774,2.02774,0.433401,2.5166,4.53973,2.43421,0.924139,0.653081,0.970098,1.62354,1.90702,1.29026,1.25779,1.73288,0.421017,1.41832,1.33265,3.19208,1.5629,6.8197,1.74166,4.36136,3.34135,3.67856,1.93634,11.9299,3.44773,1.64002,4.71212,1.30739,1.66819,0.110481,0.804113,3.26327,4.30037,2.92967,1.77316,3.02144,1.72794,7.74043,3.17445,2.85239,0.00303462,0,1.57774,32.0774,39.2447,45.8236,45.2847,3.79977,1.77073,6.17075,0.0170242,6.6754,2.76048,1.05969
"Bordetella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000363702,0,0,0,0,0,0,0,0,0.00135658,0,0,0,0.00171488,0,0.00240442,0,0.00473048,0.00196773,0,0,0.000982956,0,0.00277024,0,0,0,0,0,0,0,0,0,0,0,0,0.00242174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bosea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301144,0.00301314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00980681,0,0,0,0,0,0,0,0,0,0,0,0,0.0614792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00623539,0,0,0.298063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0668805,0,0,0,0,0,0.000947975,0,0,0,0.011635,0,0,0,0,0,0,0,0,0,0,0,0.000596189,0.000807246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brachybacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00271872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00463489,0,0,0.00217273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00237954,0,0.00685953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031904,0,0,0,0,0,0
